Département,Date de mise en service,Nom de la voie,Sens de circulation,Nombre de dossiers d'infractions
01,09/12/2004,RD936,JASSERON VERS BOURG EN BRESSE,2898
01,20/12/2004,RD1084,MEXIMIEUX VERS BELIGNEUX,2184
01,25/07/2005,RD1083,lyon VERS BOURG EN BRESSE,6456
01,25/07/2005,RD1075,BOURG EN BRESSE vers PONT D AIN,4390
01,13/09/2005,RD936,BOURG EN BRESSE vers TREVOUX,2398
01,27/01/2006,RD1083,BOURG EN BRESSE vers LYON,4813
01,20/03/2006,RD1083,BOURG EN BRESSE vers LONS LE SAUNIER,358
01,26/06/2006,A40,LE FAYET VERS MACON,21310
01,10/10/2007,RD936,Trevoux vers Bourg en Bresse,1140
01,07/11/2007,RD992,CULOZ VERS BELLEY,3536
01,03/04/2008,RD1005,GEX vers FERNEY VOLTAIRE,7140
01,18/04/2008,A42,LYON vers BOURG EN BRESSE,16136
01,16/06/2008,RD1084,NANTUA vers PONT D AIN,15241
01,28/08/2008,RD22,BOURG EN BRESSE vers CHALAMONT,258
01,28/08/2008,RD884,Bellegarde vers Gex,3561
01,26/09/2008,RD4,Meximieux vers St André de Corcy,219
01,05/03/2009,RD5,AMBERIEU EN BUGEY VERS ST DENIS EN BUGEY,237
01,20/03/2009,RD1084,MONTREAL LA CLUSE VERS NANTUA,3831
01,09/09/2009,RD933,Pont de Vaux vers Feillens,275
01,18/02/2010,RD37,CEYZERIEU vers BEON,62
01,09/06/2010,RD37,BEON VERS CEYZERIEU,1913
01,22/03/2011,RD2,SULIGNAT VERS CHATILLON SUR CHALARONNE,2046
01,11/04/2011,RD1079,MACON VERS BOURG EN BRESSE,3367
01,19/05/2011,RD975,BOURG EN BRESSE VERS JAYAT,2007
01,29/07/2011,RD1083,LYON vers BOURG EN BRESSE,1362
01,08/08/2012,RD19,MONTAGNIEU VERS ST BENOIT,1990
02,21/10/2004,RN2,SOISSONS vers PARIS,32234
02,29/03/2005,RD1029,ST QUENTIN vers LAON,3646
02,29/03/2005,RN31,SOISSONS vers COMPIEGNE,1964
02,06/05/2005,RN2,LAON VERS MARLE,5793
02,09/05/2005,RD1043,HIRSON vers AUGE,1718
02,01/06/2005,RD1044,CAMBRAI VERS ST QUENTIN,200
02,01/06/2005,RD1,SOISSONS VERS CHAUNY,89
02,07/09/2005,RN2,SOISSONS VERS MARLE,455
02,01/11/2006,RD8,ST QUENTIN vers BOHAIN EN VERMANDOIS,454
02,07/03/2007,RN2,AVESNES SUR HELPE vers VERVINS,1471
02,04/05/2007,RD1,CHATEAU THIERRY vers DHUYS ET MORIN EN BRIE,844
02,04/05/2007,RD1,SOISSONS vers CHATEAU THIERRY,3528
02,05/07/2007,RN2,LA CAPELLE VERS LAON,1492
02,15/08/2007,RN31,FISMES VERS BRAINE,1847
02,05/10/2007,RD1029,ST QUENTIN vers GUISE,926
02,26/11/2007,RD1,Chauny vers St Quentin,964
02,05/12/2007,RD1044,Reims vers Laon,840
02,05/03/2008,RD1044,ST QUENTIN vers LAON,373
02,01/07/2009,"Avenue du Général De Gaulle, face au n°53",CENTRE VILLE vers ROUVROY,1758
02,09/09/2009,RN2,SOISSONS vers PARIS,4109
02,28/06/2013,RD 1003 (ex RN 3),MONTREUIL AUX LIONS vers CHATEAU THIERRY,3875
02,13/09/2013,RN2 (Rue le Monvinage),LAON vers LA CAPELLE,8326
02,20/12/2013,RD1044,LAON vers REIMS,218
02,02/09/2014,RD1044,LAON vers ST QUENTIN,3313
02,17/11/2014,RD1044,ST QUENTIN vers CAMBRAI,381
03,02/09/2004,RN7,ROANNE vers MOULINS,8832
03,02/09/2004,RN7,VARENNES VERS MOULINS,1789
03,15/09/2004,RD2009,GANNAT VERS ST POURCAIN SUR SIOULE,1421
03,15/09/2004,RD2209,VICHY VERS VARENNES,595
03,10/11/2005,RN79,DOMPIERRE SUR BESBRE VERS MONTMARAULT,2105
03,10/11/2005,RD2144,MONTLUCON vers NERIS LES BAINS,8131
03,09/01/2006,RD2009,CHATEL DE NEUVRE VERS ST POURCAIN SUR SIOULE,1311
03,09/01/2006,RN79,MONTMARAULT VERS DOMPIERRE SUR BESBRE,2348
03,13/02/2006,RN7,MOULINS VERS VARENNES,525
03,07/11/2007,RD2144,MONTLUCON vers NERIS LES BAINS,6334
03,07/11/2007,RD2209,Gannat vers Vichy,3989
03,22/02/2008,RD779,CHEVAGNES vers MOULINS,1512
03,22/02/2008,RD2371,MONTMARAULT vers MONTLUCON,1827
03,19/03/2008,RN79,MACON vers MOULINS,14914
03,25/11/2008,RD990,LE DONJON vers LAPALISSE,446
03,12/02/2009,RD907,LAPALISSE VERS CREUZIER LE NEUF,1481
03,19/02/2009,RN7,VARENNES SUR ALLIER vers TOULON SUR ALLIER,2253
03,19/05/2010,RD2144,MONTLUCON vers BOURGES,1462
03,22/06/2010,RD27,CUSSET vers CHARMEIL,2232
03,17/11/2010,RN79,MOULINS vers MONTMARAULT,4786
03,17/11/2010,RN79,DOMPIERRE sur BESBRE vers MOULINS,2782
03,17/02/2011,RD994,LE DONJON vers LAPALISSE,28349
03,01/08/2012,RD2009,ST POURCAIN SUR SIOULE vers MOULINS,2882
04,27/11/2004,RD4096,VOLX vers LA BRILLANNE,2619
04,14/03/2005,RN85,SISTERON vers CHATEAU ARNOUX ST AUBAN,1553
04,20/10/2005,RN85,DIGNE LES BAINS vers CHATEAU ARNOUX ST AUBAN,3850
04,02/11/2005,RD4096,VOLX vers MANOSQUE,2302
04,23/01/2006,RN85,DIGNE LES BAINS VERS MALIJAI,290
04,01/03/2006,A51,AIX vers LA SAULCE,8518
04,19/03/2007,RN85,MALIJAI VERS DIGNE LES BAINS,989
04,23/11/2007,RN202,NICE vers DIGNE LES BAINS,7331
04,22/02/2008,RN85,BARREME vers DIGNE LES BAINS,12888
04,24/02/2008,RN85,NICE vers DIGNE LES BAINS,2450
04,17/10/2008,RN202,ST ANDRE LES ALPES vers BARREME,2429
04,17/10/2008,RD900,LE LAUZET UBAYE vers BARCELONNETTE,1466
04,17/11/2008,RD4100,FORCALQUIER vers CERESTE,4281
04,26/11/2008,RD4075,Sisteron vers Grenoble,456
04,27/10/2009,RD13,MANE vers VOLX,686
05,08/08/2005,RN85,GAP VERS SISTERON,847
05,28/08/2005,RD1091,GRENOBLE vers BRIANCON,3796
05,27/02/2006,RN94,GAP vers BRIANCON,18110
05,19/06/2006,RN94,EMBRUN vers GAP,121
05,22/02/2008,RN94,Briançon vers Gap,1394
05,22/02/2008,RN85,Gap vers Grenoble,456
05,02/04/2008,RD994,GAP vers VEYNES,7095
05,06/08/2008,RD1075,GRENOBLE vers SISTERON,2171
05,02/10/2009,RN85,GRENOBLE vers GAP,19382
05,08/10/2009,RN85,GAP vers SISTERON,3918
05,10/05/2010,RN85,Grenoble vers Gap,975
05,01/10/2011,RD942,BRIANCON vers SISTERON,24145
05,04/10/2011,RN94,GAP vers BRIANCON,1307
05,20/10/2011,RD1075,Sisteron vers Grenoble,3487
06,10/05/2004,A8,MARSEILLE VERS MENTON,60344
06,10/05/2004,RD6098,ANTIBES VERS VILLEFRANCHE SUR MER,14838
06,19/01/2006,ROUTE DU BORD DE MER,CAGNES SUR MER VERS NICE,4185
06,09/02/2006,RD6202,NICE VERS DIGNE LES BAINS,3544
06,21/02/2006,RD6202,DIGNE LES BAINS VERS NICE,2609
06,28/02/2006,ROUTE DU BORD DE MER,NICE VERS CAGNES SUR MER,6660
